run_id,autonomous_weight,control_type,throughput,average_waiting_time
0,0,basic,19.28020566,42.556
1,0,basic,19.40491591,42.691
2,0,basic,19.33612633,40.883
3,0.25,basic,19.34235977,43.079
4,0.25,basic,19.35483871,42.231
5,0.25,basic,19.3986421,43.229
6,0.5,basic,19.39237233,44.335
7,0.5,basic,19.34235977,44.224
8,0.5,basic,19.33612633,43.656
9,0.75,basic,19.34859723,45.213
10,0.75,basic,19.30501931,45.169
11,0.75,basic,19.3174501,45.874
12,1,basic,19.28640309,47.203
13,1,basic,19.41119379,47.857
14,1,basic,19.4426442,47.944
15,0,intelligent,19.33612633,28.56
16,0,intelligent,19.23693492,29.59
17,0,intelligent,19.17545542,28.401
18,0.25,intelligent,19.41747573,28.067
19,0.25,intelligent,19.18158568,28.288
20,0.25,intelligent,19.23693492,28.57
21,0.5,intelligent,19.3112327,28.826
22,0.5,intelligent,19.3112327,30.422
23,0.5,intelligent,19.34859723,29.823
24,0.75,intelligent,19.26163724,30.497
25,0.75,intelligent,19.3112327,28.481
26,0.75,intelligent,19.34235977,32.083
27,1,intelligent,19.37984496,29.854
28,1,intelligent,19.49317739,30.355
29,1,intelligent,19.34859723,29.998
